Latitude,Longitude,Radius,Vegetation,Water,Built-up,Barren,Suitability Score,Created At
23.2599,77.4126,5000.0,43.6,4.1,19.8,32.5,81.7,2026-07-30 13:43:55.186293
23.2599,77.4126,5000.0,43.6,4.1,19.8,32.5,81.7,2026-07-30 13:43:56.821679
